main_speaker,speaker_occupation
Arthur Benjamin,Mathemagician
Gever Tulley,Tinkerer
Daniel Libeskind,Architect
Eames Demetrios,Artist
Tom Wujec,Designer
Sophal Ear,Development economist
Kary Mullis,Biochemist
Stewart Brand,Environmentalist
Stewart Brand, futurist
Olafur Eliasson,Sculptor of light and space
Daniel Kraft,Physician scientist
Jim Fallon,Neurobiologist
Nina Jablonski,Anthropologist
Gordon Brown,British Prime Minister
Alain de Botton,Philosopher
Golan Levin,Experimental audio-visual artist
Elaine Morgan,Aquatic ape theorist
Willard Wigan,Micro-sculptor
Michael Pritchard,Inventor
Paul Romer,Chief Economist and Senior Vice President
Paul Romer, World Bank
Janine Benyus,Science writer
Janine Benyus, innovation consultant
Janine Benyus, conservationist
Emmanuel Jal,Hip-hop artist
Dan Pink,Career analyst
Eric Giler,Wireless electrician
Hans Rosling,Global health expert
Hans Rosling, data visionary
Natasha Tsakos,Artist
Cary Fowler,Biodiversity archivist
Joshua Silver,Optical innovator
Geoff Mulgan,Social commentator
Evan Grant,Creative technologist
Steve Truglia,Stuntman
James Balog,Photographer
Lewis Pugh,Coldwater swimmer
Rebecca Saxe,Cognitive neuroscientist
Misha Glenny,Underworld investigator
Bjarke Ingels,Architect
John Lloyd,Producer
Oliver Sacks,Neurological anthropologist
Jonathan Zittrain,Net watchdog
Evgeny Morozov,Internet scientist
William Kamkwamba,Inventor
Taryn Simon,Photographer
Jacqueline Novogratz,Investor and advocate for moral leadership
Parag Khanna,Global strategist
Tim Brown,Designer
Karen Armstrong,Religious scholar
Garik Israelian,Astrophysicist
Stefan Sagmeister,Graphic designer
Carolyn Steel,Food urbanist
David Logan,Professor of management
Chimamanda Ngozi Adichie,Novelist
Beau Lotto,Neuroscientist
Beau Lotto, Artist
Sam Martin,Writer
Eric Sanderson,Landscape ecologist
David Hanson,Robotics designer
Rory Sutherland,Advertising guru
Henry Markram,Neuroscientist
Julian Treasure,Sound consultant
John Gerzema,Marketing whiz
Paul Debevec,Computer graphics pioneer
Itay Talgam,Conductor and leadership expert
Marc Koska,Inventor
Ian Goldin,Economist
Ian Goldin, development visionary
David Deutsch,Quantum physicist
Rachel Armstrong,Applied scientist
Rachel Armstrong, innovator
Becky  Blanton,Writer
Marcus du Sautoy,Mathematician
Stefana Broadbent,Tech anthropologist
Cameron Sinclair,Co-founder
Cameron Sinclair, Architecture for Humanity
Rachel Pike,Atmospheric chemist
Edward Burtynsky,Photographer
Cynthia Schneider,Cultural diplomacy expert
Pranav Mistry,Director of research
Pranav Mistry, Samsung Research America
Mathieu Lehanneur,Designer
Fields Wicker-Miurin,Social entrepreneur
Devdutt Pattanaik,Mythologist
Tom Wujec,Designer
Hans Rosling,Global health expert
Hans Rosling, data visionary
Rob Hopkins,Resilience leader
Magnus Larsson,Dune architect
Mallika Sarabhai,Dancer
Mallika Sarabhai, actor
Mallika Sarabhai, activist
Shashi Tharoor,Politician and writer
Gordon Brown,British Prime Minister
Andrea Ghez,Astronomer
Anupam Mishra,Environmental activist
Scott Kim,Puzzlemaster
Sunitha Krishnan,Anti-trafficking crusader
Rory  Bremner,Comedian
Marc Pachter,Cultural Historian
Thulasiraj Ravilla,Vision activist
Shereen El Feki,Arab sexuality expert
Loretta Napoleoni,Macroeconomist
Ryan Lobo,Photographer
Alexis Ohanian,Entrepreneur
Charles Anderson,Marine biologist
James Geary,Aphorist
Shaffi Mather,Social entrepreneur
Shaffi Mather, lawyer
Steven  Cowley,Physicist 
Asher Hasan,Social entrepreneur
Bertrand Piccard,Solar adventurer
Vilayanur Ramachandran,Brain expert
Nick Veasey,X-ray visionary
Dan Buettner,Longevity coach
Dan Buettner, explorer
Romulus Whitaker,Herpetologist
Kartick Satyanarayan,Wildlife conservationist 
Kiran Sethi,Educator
Lalitesh Katragadda,Engineer
Charles Fleischer,Comedian
Charles Fleischer, voice artist
David Blaine,Illusionist
David Blaine, endurance artist
Ravin Agrawal,Investor 
Anthony Atala,Surgeon
Bill Davenhall,Health and human services expert
Joshua Prince-Ramus,Architect
Eve Ensler,Playwright
Eve Ensler, activist
Jane Chen,Social entrepreneur
Derek Sivers,Entrepreneur
Sendhil Mullainathan,Behavioral economist
Jamie Heywood,Healthcare revolutionary
George Whitesides,Chemist
David Agus,Cancer Doctor
Peter Eigen,Founder
Peter Eigen, Transparency International
Jamie Oliver,Chef
Jamie Oliver, activist
Blaise AgÌ_era y Arcas,Software architect
David Cameron,Politician
Aimee Mullins,Athlete and actor
Bill Gates,Philanthropist
Kevin Kelly,Digital visionary
Philip K. Howard,Legal activist
Eric Topol,Cardiologist and geneticist 
Temple Grandin,Livestock handling designer
Temple Grandin, autism activist
Pawan Sinha,Visual neuroscientist
Raghava KK,Artist
Daniel Kahneman,Behavioral economics founder
Harsha Bhogle,Cricket commentator
Gary Flake,Technologist
James Cameron,Director
The LXD,Dance adventurers
Srikumar Rao,Happiness teacher
Tim Berners-Lee,Inventor
Gary Lauder's new traffic sign,Venture capitalist
Dan Barber,Chef
Eric Mead,Magician
Mark Roth,Biochemist
Mark Roth, cell biologist
Eric Dishman,Social scientist
Jane McGonigal,Game Designer
Ken Kamler,Adventure physician 
Shekhar Kapur,Director and writer
Sam Harris,Neuroscientist
Sam Harris, philosopher
Juliana Machado Ferreira,Biologist
Alan Siegel,Executive
Alan Siegel, simplicity guru
Joel Levine,Planetary and atmospheric scientist
Robert Gupta,Violinist
Kevin Bales,Anti-slavery activist
Shukla Bose,Education activist
Kirk Citron,Media expert 
Derek Sivers,Entrepreneur
Adora Svitak,Child prodigy
Elizabeth Pisani,Author
Dean Kamen,Inventor
Dennis Hong,Roboticist 
Jonathan Drori,Educator
Michael Specter,Writer
Jonathan Klein,Executive
Catherine Mohr,Roboticist
Thelma Golden,Curator
Edith Widder,Marine biologist
James Randi,Skeptic and conjuror
Frederick Balagadde,Inventor
Tom Wujec,Designer
Omar Ahmad,Technologist
Omar Ahmad, city councilman
Kavita Ramdas,Philanthropist
Stephen Wolfram,Scientist
Stephen Wolfram, inventor
Roz Savage,Ocean rower
George Whitesides,Chemist
Sebastian Wernicke,Data scientist
Esther Duflo,Development economist
Simon Sinek,Leadership expert
Jeremy Jackson,Marine ecologist
Anil Gupta,Innovation advocate
Nicholas Christakis,Physician
Nicholas Christakis, social scientist
Nathan Myhrvold,Polymath
Enric Sala,Marine ecologist
Dan Meyer,Educator
Julia Sweeney,Actor
Julia Sweeney, comedian
Julia Sweeney, playwright
William Li,Cancer researcher
Graham Hill,Journalist
Dee Boersma,Conservation biologist
Richard Sears,Geophysicist
Craig Venter,Biologist
Craig Venter, genetics pioneer
Ken Robinson,Author/educator
Johanna Blakley,Media maven
Sharmeen Obaid-Chinoy,Filmmaker
Seth Berkley,Vaccine visionary
Lawrence Lessig,Legal activist
John Underkoffler,Interface designer
Brian Skerry,Photographer
"Christopher ""moot"" Poole""",Founder
"Christopher ""moot"" Poole""", 4chan
Brian Cox,Physicist 
Adam Sadowsky,Creative entrepreneur 
Michael Sandel,Political philosopher
John Kasaona,Conservationist
Rory Sutherland,Advertising guru
David Byrne,Musician
David Byrne, artist
David Byrne, writer
Michael Shermer,Skeptic
Margaret Gould Stewart,User experience master
Peter Tyack,Behavioral ecologist
Cameron Herold,Entrepreneur
Ananda Shankar Jayant,Dancer and choreographer
Chip Conley,CEO
Chip Conley, author
Marian Bantjes,Designer
Marian Bantjes, illustrator
Marian Bantjes, typographer
Charles Leadbeater,Innovation consultant
Aditi Shankardass,Neuroscientist 
Hillel Cooperman,Entrepreneur
Hillel Cooperman, Lego enthusiast
Clay Shirky,Social Media Theorist
Ellen Dunham-Jones,Architect
Stephen Palumbi,Marine biologist
Carter Emmart,Scientist
Carter Emmart, Artist 
Mitchell Joachim,Architect
Mitchell Joachim, designer
Benoit Mandelbrot,Mathematician
Ellen  Gustafson,Social entrepreneur
Nalini Nadkarni,Tree researcher
Hans Rosling,Global health expert
Hans Rosling, data visionary
Carl Safina,Ecologist
Carl Safina, writer
Matt Ridley,Rational optimist
Ethan Zuckerman,Blogger
Ethan Zuckerman, digital visionary
Elif Shafak,Novelist
Julian Assange,Whistleblower
Naif Al-Mutawa,Creator
Naif Al-Mutawa, The 99
Dimitar Sasselov,Astronomer
Tan Le,Entrepreneur
Kevin Stone,Surgeon
Kevin Stone, inventor
Sheena Iyengar,Psycho-economist
Susan Shaw,Marine toxicologist
John Delaney,Oceanographer
Laurie Santos,Cognitive psychologist
Lewis Pugh,Coldwater swimmer
Jason Clay,Market transformer
Sheryl WuDunn,Author
Sheryl WuDunn, journalist
Peter Molyneux,Game changer
Jamil Abu-Wardeh,Producer
Maz Jobrani,Comedian
Seth Priebatsch,Entrepreneur
David McCandless,Data journalist
Lee Hotz,Journalist
Jim Toomey,Cartoonist
Lisa Margonelli,Writer
Dan Cobley,Online marketing whiz
Nic Marks,Happiness researcher
Johan Rockstrom,Sustainability expert
His Holiness the Karmapa,Spiritual leader
Derek Sivers,Entrepreneur
Rachel Sussman,Artist
Rachel Sussman, photographer
Sugata Mitra,Education researcher
Alwar Balasubramaniam,Artist
Carne Ross,Diplomat
Ben Cameron,Arts administrator
Rob Dunbar,Oceanographer
Rob Dunbar, biogeochemist
Chris Anderson,TED Curator
Jessa Gamble,Writer
Nicholas Christakis,Physician
Nicholas Christakis, social scientist
Caroline Phillips,Musician
Christien Meindertsma,Artist
Steven Johnson,Writer
Mitchell Besser,HIV/AIDS fighter
Annie Lennox,Activist
Annie Lennox, singer-songwriter
Fabian Hemmert,Designer
Julian Treasure,Sound consultant
Gary Wolf,Journalist
Sebastian Seung,Computational neuroscientist
Inge Missmahl,Analytical psychologist
Mechai Viravaidya,Public health expert
Eben Bayer,Green designer
Tim Jackson,Economist
Barbara Block,Marine biologist
Hans Rosling,Global health expert
Hans Rosling, data visionary
Stacey Kramer,Brand strategist
Stefano Mancuso,Plant neurobiologist
Melinda Gates,Philanthropist
Peter Haas,Building activist
Natalie Jeremijenko,Artist and engineer
Ze Frank,Humorist
Ze Frank, web artist
Jessica Jackley,Microlender
Heribert Watzke,Food scientist
Dianna Cohen,Artist and activist
Patrick Chappatte,Editorial cartoonist
R.A. Mashelkar,Scientist
R.A. Mashelkar, innovator
Joseph Nye,Diplomat
Barton Seaver,Chef
Shimon Steinberg,Entomologist
Tom Chatfield,Gaming theorist
David Bismark,Voting system designer
Greg Stone,Oceanographer
Gero Miesenboeck,Optogeneticist
Andrew Bird,Musician
Emily Pilloton,Humanitarian design activist
Stefan Wolff,Ethnic conflicts scholar
Aaron Huey,Photographer
Auret van Heerden,Labor-rights activist
Eric Berlow,Ecologist
Conrad Wolfram,Mathematician
Denis Dutton,Philosopher
Shimon Schocken,Computer Scientist
Shimon Schocken, Educator
John Hardy,Designer
John Hardy, educator
Kristina Gjerde,High seas policy advisor
Kim Gorgens,Neuropsychologist
Zainab Salbi,Activist and social entrepreneur
Jason Fried,Software entrepreneur
Dan Phillips,Builder
Birke Baehr,Aspiring organic farmer
William Ury,Mediator
Marcel Dicke,Ecological entomologist
Bart Weetjens,Product developer
Arthur Potts Dawson,Green chef
Halla TÌ_masdÌ_ttir,Change catalyst
Tony Porter,Author
Tony Porter, educator
Tony Porter, activist
Kiran Bedi,Corrections pioneer
Hanna Rosin,Journalist
Diana Laufenberg,Educator
Rachel Botsman,Trust researcher
Sheryl Sandberg,COO
Sheryl Sandberg, Facebook
Majora Carter,Activist for environmental justice
BrenÌ© Brown,Vulnerability researcher
Barry Schwartz,Psychologist
Arianna Huffington,Journalist
Lesley Hazleton,Writer
Lesley Hazleton, psychologist
Charles Limb,Researcher
Deborah Rhodes,Physician
Deborah Rhodes, cancer researcher
Neil Pasricha,Director
Neil Pasricha, The Institute for Global Happiness
Jody Williams,Nobel peace laureate
Amber Case,Cyborg Anthropologist 
Thomas Thwaites,Designer
Elizabeth Lesser,Wellness specialist
Ali Carr-Chellman,Instructional designer
Naomi Klein,Author
Naomi Klein, Activist 
Charity Tillemann-Dick,Soprano
Van Jones,Social justice and green energy activist
Anders Ynnerman,Scientific visualization expert
Heather Knight,Roboticist 
Martin Jacques,Writer
Martin Jacques, columnist
Thomas Goetz,Healthcare communicator
Liza Donnelly,Cartoonist 
Ariel Garten,Artist
