main_speaker,speaker_occupation
Alexander Wagner,Economist
Pierre Thiam,Chef
Augie Picado,Border specialist
Helen Czerski,Physicist
Sethembile Msezane,Artist
Jun Wang,Genomics researcher
Oluífeíí£mi TaíiíwoíÛ,Historian
Oluífeíí£mi TaíiíwoíÛ, philosopher
Duarte Geraldino,Journalist
Armando Azua-Bustos,Astrobiologist
Radhika Nagpal, Robotics engineer
Theo E.J. Wilson,Public intellectual
Karoliina Korppoo,Game designer
Nadine Hachach-Haram,Surgeon
Nadine Hachach-Haram, entrepreneur
Devita Davison,Food activist
Dao Nguyen,Media analytics expert
Alastair Gray,Brand protection manager
Martina Flor,Lettering designer
Dan Gartenberg,Sleep scientist
Justin Baldoni,Actor
Justin Baldoni, filmmaker
Justin Baldoni, social entrepreneur
Luvvie Ajayi,Creator
G.T. Bynum,Mayor of Tulsa
G.T. Bynum, Oklahoma
Natsai Audrey Chieza,Designer
Matilda Ho,Serial entrepreneur
Matilda Ho, investor
Keller Rinaudo,Robotics entrepreneur
Elizabeth Blackburn,Molecular biologist
Sarah Corbett,Craftivist
Scott Galloway,Professor of marketing
Niti Bhan,Human-centered strategist
Per Espen Stoknes,Psychologist
Per Espen Stoknes, economist
Kayla BriÌÇt,Filmmaker
Kayla BriÌÇt, musician
Christen Reighter,Poet
Christen Reighter, essayist
Beth Malone,Social entrepreneur
Beth Malone, artist
David Titley,Meteorologist
Lloyd Pendleton,Homeless advocate
Jackson Bird,Digital storyteller
Jackson Bird, activist
Teresa Njoroge,Criminal and social justice reform advocate
Victoria Pratt,Professor
Robert Muggah,Megacities expert
Jon Bowers,Perfection enthusiast
Paul Hessburg,Research ecologist
InÌ©s Hercovich,Sociologist
InÌ©s Hercovich, social psychologist
Washington Wachira,Wildlife ecologist
Washington Wachira, nature photographer and safari guide
Gretchen Carlson,TV journalist
Gretchen Carlson, women's empowerment advocate
Amel Karboul,Education pioneer
Giulia Enders,Doctor
Giulia Enders, author
Nnedi Okorafor,Science fiction writer
Lauren Sallan,Paleobiologist
Tim Kruger,Geoengineering researcher
Zeynep Tufekci,Techno-sociologist
Carlos Bautista,Entrepreneur
Carlos Bautista, creative technologist
Martin Ford,Futurist
RocÌ_o Lorenzo,Management consultant
RocÌ_o Lorenzo, diversity researcher
Anjan Sundaram,Author
Anjan Sundaram, journalist
Naomi McDougall Jones,Actress
Naomi McDougall Jones, writer
Naomi McDougall Jones, producer
Naomi McDougall Jones, activist
Mike Kinney,Business development supervisor
Gus Casely-Hayford,Cultural historian
Chris Sheldrick,Entrepreneur
Uldus Bakhtiozina,Artist
Uldus Bakhtiozina, visionary
Margrethe Vestager,Commissioner for Competition
Margrethe Vestager, European Union
Elizabeth Wayne,Biomedical engineer
Kristin Poinar,Glaciologist
Paul Tasner,Entrepreneur
Elif Shafak,Novelist
Sara DeWitt,ChildrenÛªs media expert
David Lee,Innovation leader
Eric Dyer,Artist
Eric Dyer, educator
Greg Gage,Neuroscientist
Chika Ezeanya-Esiobu,Indigenous knowledge expert
Sara Menker,Technology entrepreneur
Nikki Webber Allen,Multimedia producer
Levon Biss,Photographer
Prumsodun Ok,Interdisciplinary artist
Gabriela GonzÌÁlez,Astrophysicist
Helen Pearson,Science journalist
Helen Pearson, editor
Helen Pearson, author
Euna Lee,Journalist
Christian RodrÌ_guez,Documentary photographer
Anna Heringer,Architect
Julio Gil,Logistics expert
Nabila Alibhai,Place-maker
Mei Lin Neo,Marine biologist
Anindya Kundu,Sociologist
Anindya Kundu, educator
Anindya Kundu, writer
