talk_id,WC,comment_num,duration,talk_event,film_date,main_speaker,published_date,view_count
218,2409,51,1003,TEDGlobal 2007,2007-06-06,Ernest Madu,2008-04-17,371754
219,3719,145,1372,TED2008,2008-02-02,Amy Tan,2008-04-22,2477746
220,3271,534,1146,TED2005,2005-02-02,Brian Greene,2008-04-22,4119616
221,2570,292,899,TED2008,2008-03-03,Brian Cox,2008-04-29,3074172
223,3592,32,1197,TEDGlobal 2007,2007-06-06,Hector Ruiz,2008-05-01,315244
224,2778,356,1064,TED2008,2008-03-03,Paul Stamets,2008-05-06,4060628
225,3482,69,1071,TED2007,2007-03-03,Paul Ewald,2008-05-07,442623
226,2708,82,2222,TED2002,2002-03-03,Michael Moschen,2008-05-08,944836
227,1860,303,606,TED2008,2008-03-03,Joshua Klein,2008-05-13,2398373
228,496,211,269,TED2008,2008-03-03,Alisa Miller,2008-05-14,1888717
229,3195,537,1208,EG 2007,2007-12-12,Mark Bittman,2008-05-15,3830672
230,3303,111,1099,TED2008,2008-02-29,Robert Ballard,2008-05-20,1281570
231,2546,60,1063,TED2008,2008-02-29,Yves Behar,2008-05-21,1109822
232,2015,76,944,TED2002,2004-03-03,Arthur Ganson,2008-05-27,672113
233,2169,49,863,TEDGlobal 2007,2007-06-06,Seyi Oyesola,2008-05-27,230569
234,2150,139,1011,TED2008,2008-03-03,Paul Collier,2008-05-28,990220
235,3097,358,1168,TED2008,2008-02-29,Susan Blackmore,2008-06-03,735638
236,2786,57,1034,TED2007,2007-03-03,Nathan Myhrvold,2008-06-04,437132
238,3614,174,1152,TED2008,2008-02-02,Wade Davis,2008-06-10,984223
239,158,76,135,TED2007,2007-03-03,Murray Gell-Mann,2008-06-11,785293
240,2941,85,1038,TED2003,2003-03-03,George Dyson,2008-06-15,838799
241,1753,218,674,TED2008,2008-02-02,Chris Jordan,2008-06-15,1520108
242,544,102,192,TED2008,2008-03-03,Dean Ornish,2008-06-16,1384333
243,3145,83,1222,TED2002,2002-02-02,Robert Full,2008-06-19,799797
244,486,131,211,TED2007,2007-02-02,Adam Grosser,2008-06-23,857181
245,3739,119,1138,TEDGlobal 2005,2005-07-12,Steven Levitt,2008-06-24,749952
246,2788,638,1243,TED2008,2008-02-02,Benjamin Zander,2008-06-25,9315483
247,3104,43,1000,EG 2007,2007-12-12,Nicholas Negroponte,2008-06-26,398643
250,625,38,241,TED2008,2008-02-02,Peter Diamandis,2008-06-30,497899
251,5020,197,1507,EG 2007,2007-12-12,Rick Smolan,2008-07-02,1123955
252,776,49,559,TED2007,2007-03-03,Raul Midon,2008-07-03,327542
253,2331,41,1098,TEDGlobal 2007,2007-06-06,Corneille Ewango,2008-07-07,368974
254,3281,43,1100,TED2003,2003-03-03,Torsten Reil,2008-07-08,325148
255,633,166,240,TED2008,2008-02-02,David Hoffman,2008-07-09,920941
256,3534,64,1246,TEDGlobal 2005,2005-07-01,Clay Shirky,2008-07-10,1097533
258,2651,87,1151,TED2003,2003-02-02,Freeman Dyson,2008-07-14,895199
259,2578,229,956,TED2008,2008-02-02,Helen Fisher,2008-07-15,4883112
260,3281,791,1580,TED1998,1998-02-02,Billy Graham,2008-07-16,1532675
261,2751,583,1060,EG 2007,2007-12-02,AJ Jacobs,2008-07-17,2291701
262,2559,669,1189,TED2004,2004-02-02,Keith Barry,2008-07-18,13327101
263,3264,224,1422,TED2004,2004-02-02,Martin Seligman,2008-07-21,4190393
264,352,15,153,TEDGlobal 2007,2007-06-06,Marisa Fick-Jordan,2008-07-21,294961
265,2320,137,974,TED2008,2008-02-02,Chris Abani,2008-07-22,843859
266,2187,70,936,TED2008,2008-02-02,Louise Leakey,2008-07-23,656400
267,3759,79,1229,TED2007,2007-12-12,Jonathan Harris,2008-07-24,855052
268,2635,36,921,TED2003,2003-02-02,Reed Kroloff,2008-07-28,282994
269,3520,233,1174,EG 2007,2007-12-12,Kevin Kelly,2008-07-28,1358292
270,2572,93,982,TEDGlobal 2007,2007-06-06,Kwabena Boahen,2008-07-30,580298
271,2731,66,953,TED2008,2008-02-02,Robert Lang,2008-07-30,2161846
273,2892,272,969,TED2008,2008-02-02,Patricia Burchat,2008-08-17,1410164
274,4016,90,1253,TEDGlobal 2007,2007-06-06,Spencer Wells,2008-08-18,665947
275,2397,80,893,TED2008,2008-02-02,David Griffin,2008-08-19,1056435
276,2779,109,1868,TED2005,2005-02-02,Lennart Green,2008-08-20,4204848
277,2686,134,886,EG 2007,2007-12-03,Ian Dunbar,2008-08-21,1002304
